"event_id","height_above_terrain","p_flight","flight_binary"
14074649788,3.0102,0,0
14074649789,-0.703899999999997,0,0
14573482560,4.40100000000001,0,0
14726461101,5.65199999999999,0,0
14726461103,-126.283,0,0
14867959659,1.77199999999999,0,0
14867959661,-7.923,0,0
14921488242,15.078,0,0
15467902318,-21.95,0,0
14074649794,-6.3957,0,0
14074649795,12.7667,0,0
17869104804,-6.2633,0,0
18009745599,12.5829,0,0
18009745633,68.6022,0,0
18009745716,-13.0055,0,0
18009745802,-151.367,0,0
18052008955,-5.08699999999999,0,0
18089366233,-4.16000000000003,0,0
18145087140,-1.39699999999999,0,0
18124433777,7.29599999999999,0,0
18145087171,12.177,0,0
18240116578,6.721,0,0
18240116607,7.99599999999998,0,0
18240116648,1.79500000000002,0,0
18338059447,-52.9199,0,0
18338059466,-101.12,0,0
18395863488,17.951,0,0
18442778570,-67.83,0,0
18483496126,-0.798000000000002,0,0
18483496173,22.235,0,0
18534034658,11.287,0,0
18586315567,-4.651,0,0
18652625252,35.9,0,0
18724615606,-1.685,0,0
18652625324,1.40000000000001,0,0
18652625335,-1015.218,0,0
18724615651,-70.736,0,0
18750320581,3.30500000000001,0,0
18784646939,14.099,0,0
18784646985,10.261,0,0
18814703833,22.308,0,0
18897319094,5.22199999999999,0,0
18897319130,-2.578,0,0
19107828728,6.036,0,0
19107828740,-96.867,0,0
19107828749,-17.957,0,0
19236336572,-13.229,0,0
19236336587,-103.522,0,0
19531794037,3.114,0,0
19531794047,-9.114,0,0
19531794077,0.158999999999992,0,0
17869104805,-4.1227,0,0
17869104814,-3.2301,0,0
17869104841,31.7139,0,0
18009745634,-4.3255,0,0
18009745717,34.5783,0,0
18052008910,5.6829,0,0
18052008956,12.708,0,0
18089366234,-14.352,0,0
18106065784,-10.287,0,0
18124433778,6.56999999999999,0,0
18145087172,2.578,0,0
18169751844,1.60900000000001,0,0
18240116608,5.743,0,0
18240116649,-240.838,0,0
18311652240,8.29300000000001,0,0
18296035935,-8.84100000000001,0,0
18311652267,13.081,0,0
18338059527,-11.7505,0,0
18395863489,-14.6371,0,0
18413433769,31.228,0,0
18483496127,-4.423,0,0
18534034620,12.542,0,0
18534034659,23.426,0,0
18652625253,22.828,0,0
18628342642,17.908,0,0
18690983758,10.877,0,0
18750320582,101.774,0,0
18784646940,38.761,0,0
18799202741,34.891,0,0
18843090293,34.843,0,0
18843090303,21.789,0,0
18973260555,-297.861,0,0
18973260587,-0.730000000000018,0,0
19157547632,7.15600000000001,0,0
19157547636,-1.904,0,0
